question,paragraph,answer
Đại hội đảng cộng sản Việt Nam lần thứ 12 được tổ chức vào thời gian nào,"Đại hội Đảng Cộng sản Việt Nam lần thứ XII , được gọi chính thức là Đại hội đại biểu toàn quốc lần thứ XII là đại hội lần thứ 12 của Đảng Cộng sản Việt Nam , diễn ra từ ngày 20 đến 28 tháng 1 năm 2016 ở Trung tâm Hội nghị Quốc gia Việt Nam tại Mỹ Đình , Hà Nội .",từ ngày 20 đến 28 tháng 1 năm 2016
Quê hương của Thierry Henry nổi lên thành một đại cường tại Châu Âu vào thời kỳ hậu kỳ Trung Cổ phải không?,"Thierry Daniel Henry (phát âm tiếng Pháp: [tjɛʁi ɑ̃ʁi]; sinh ngày 17 tháng 8 năm 1977) là một huấn luyện viên và cựu cầu thủ bóng đá người Pháp. Pháp nổi lên thành một đại cường tại châu Âu vào hậu kỳ Trung Cổ, giành thắng lợi trong Chiến tranh Trăm Năm (1337-1453) giúp củng cố quốc gia và tập trung hoá chính trị.",đúng
Elizabeth Blackburn cùng Carol W. Greider đoạt giải Nobel Sinh lý và Y khoa năm 2009 là nhà nghiên cứu sinh học tại Đại học Harvard phải không?,"Bà đã đoạt giải Nobel Sinh lý và Y khoa năm 2009 cùng với Elizabeth Blackburn và Jack W. Szostak của Đại học Boston, (Massachusetts), cho công trình của họ khám phá ra cách các telomere được bảo vệ khỏi bị sự thu hẹp tăng dần bởi enzym telomerase. Elizabeth Helen Blackburn, FRS (sinh 26 tháng 11 năm 1948) là một nhà nghiên cứu sinh học người Mỹ gốc Úc tại Đại học California tại San Francisco.",không
Mỗi năm có mấy ngày thứ 6 ngày 13,Mỗi năm có từ 1 đến 3 ngày thứ 6 ngày 13 .,từ 1 đến 3 ngày
Ban nhạc của Choi Soo-young gồm bao nhiêu người?,"Đây là một tên người Triều Tiên, họ là Choi.Choi Soo-young (Hangul: 최수영, sinh ngày 10 tháng 2 năm 1990), thường được biết đến với nghệ danh Sooyoung, là một nữ ca sĩ và diễn viên người Hàn Quốc, thành viên nhóm nhạc nữ huyền thoại Girls' Generation do công ty S.M Entertainment thành lập và quản lý. Nhóm bao gồm 8 thành viên: Taeyeon, Sunny, Yoona, Hyoyeon, Yuri, Sooyoung, Tiffany và Seohyun.",8
Đại học mà Alfred Werner từng học được thành lập năm nào?,"Ông là cựu sinh viên của trường Đại học Zurich và ông cũng có một thời gian nghiên cứu và làm việc tại ngôi trường này. Nó được thành lập năm 1833 từ những trường thần học (thành lập năm 1525 bởi Huldrych Zwingli), luật, y có từ trước và thêm một khoa triết học.",1833
Thanh Thánh Tổ trị vì trong bao nhiêu năm,"Thanh Thánh Tổ ( chữ Hán : 清聖祖 ; 4 tháng 5 năm 1654 – 20 tháng 12 năm 1722 ) , Hãn hiệu Ân Hách A Mộc Cổ Lãng hãn , Tây Tạng tôn vị Văn Thù Hoàng đế , là vị Hoàng đế thứ tư của nhà Thanh và là Hoàng đế nhà Thanh thứ hai trị vì toàn cõi Trung Quốc , từ năm 1662 đến năm 1722 .",từ năm 1662 đến năm 1722
Georginio Wijnaldum nhỏ tuổi hơn George Best phải không?,"George Best (22 tháng 5 năm 1946 - 25 tháng 11 năm 2005) là một cầu thủ bóng đá người Bắc Ireland, nổi tiếng với quãng thời gian chơi cho Manchester United. Georginio Gregion Emile Wijnaldum (phát âm tiếng Hà Lan: [ʒɔrˈʒiɲoː ʋɛiˈnɑldɵm]; sinh ngày 11 tháng 11 năm 1990) là một cầu thủ bóng đá người Hà Lan hiện chơi ở vị trí tiền vệ tại câu lạc bộ Paris Saint-Germain và Đội tuyển bóng đá quốc gia Hà Lan Wijnaldum là một cầu thủ trẻ trưởng thành từ lò đào tạo bóng đá Feyenoord và bắt đầu sự nghiệp tại câu lạc bộ PSV vào năm 2007.",đúng
Đội bóng đấu với FC Barcelona trong trận chung kết Chung kết UEFA Champions League 2006 có trụ sở ở đâu?,"Anh là được coi là anh hùng trong trận chung kết Chung kết UEFA Champions League 2006 giữa FC Barcelona và Arsenal. Câu lạc bộ bóng đá Arsenal (tiếng Anh: Arsenal Football Club, viết tắt: Arsenal F.C.) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Holloway, Luân Đôn, hiện đang thi đấu tại Giải bóng đá Ngoại hạng Anh, giải đấu cấp cao nhất trong hệ thống bóng đá Anh.","Holloway, Luân Đôn"
Anh hùng trẻ tuổi Kim Đồng là người dân tộc nào,"Kim Đồng tên khai sinh là Nông Văn Dèn, người dân tộc Nùng.",dân tộc Nùng
Sông Son thuộc tỉnh thành nào,Sông chảy hoàn toàn trên địa phận tỉnh Quảng Bình.,tỉnh Quảng Bình.
Đại học mà Jim Peebles hiện là giáo sư xếp thứ mấy trong các trường và viện đại học cổ xưa nhất ở Hoa Kỳ?,"Phillip James Edwin Peebles OM FRS (sinh ngày 25 tháng 4 năm 1935) là nhà vật lý học và nhà vũ trụ học người Mỹ gốc Canada, hiện đang là Giáo sư danh dự của Albert Einstein tại Đại học Princeton. Princeton là viện đại học xếp thứ tư trong các trường và viện đại học cổ xưa nhất ở Hoa Kỳ và một trong tám trường và viện đại học của Ivy League.",thứ tư
Quê hương của Alfred Werner nằm tại châu lục nào?,"Alfred Werner (1866-1919) là nhà hóa học Thụy Sĩ gốc Đức. Thụy Sĩ (còn được viết là Thuỵ Sỹ), tên đầy đủ là Liên bang Thụy Sĩ, là một nước cộng hòa liên bang tại châu Âu.",Châu Âu
Luca Toni lớn tuổi hơn Eliaquim Mangala phải không?,"Eliaquim Hans Mangala (sinh 13 tháng 2 năm 1991) là cầu thủ bóng đá người Pháp đang thi đấu cho câu lạc bộ Valencia ở vị trí trung vệ. Luca Toni (sinh 26 tháng 5 năm 1977 ở Pavullo nel Frignano, Modena) là một cựu cầu thủ bóng đá người Ý, thi đấu ở vị trí tiền đạo, từng vô địch World Cup.",đúng
Câu lạc bộ nào Gareth Barry từng làm đội trưởng có trụ sở ở Birmingham?,Anh là đội trưởng của Aston Villa và đứng thứ chín trong danh sách số người có số lần ra sân nhiều nhất ở câu lạc bộ. Câu lạc bộ bóng đá Aston Villa (tiếng Anh: Aston Villa Football Club) là câu lạc bộ bóng đá chuyên nghiệp Anh có trụ sở ở Birmingham.,Aston Villa F.C.
Nhà khoa học Pakistan Abdus Salam được trao Giải Nobel Vật lý cùng Sheldon Lee Glashow phải không?,"Ông được trao Giải Nobel Vật lý cùng với Abdus Salam và Steven Weinberg vào năm 1979 với công trình nghiên cứu lý thuyết thống nhất tương tác yếu và tương tác điện từ giữa các hạt cơ bản, tiên đoán sự tồn tại của dòng trung hòa yếu. Mohammad Abdus Salam (tiếng Punjab: محمد عبد السلام), KBE là nhà vật lý người Pakistan.",đúng
Đội bóng mà Stam lập cú ăn ba khi giành Cúp C1 có trụ sở tại Old Trafford phải không?,"Mùa bóng 1998-1999, Stam đã cùng Manchester United lập cú ăn ba khi giành được Cúp C1 châu Âu, vô địch ngoại hạng Anh và Cúp FA. Câu lạc bộ bóng đá Manchester United (tiếng Anh: Manchester United Football Club, hay ngắn gọn là MU hay Man Utd) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Old Trafford, Đại Manchester, Anh.",đúng
Bộ phim Tây Du Ký được chuyển thể từ tiểu thuyết gì,"Dựa trên tiểu thuyết "" cùng tên "" của Ngô Thừa Ân .",""" cùng tên "" của Ngô Thừa Ân"
Quốc gia nơi Pete Best sinh ra nằm ở khu vực nào của châu Á?,"Ông sinh ở Chennai, Ấn Độ. Ấn Độ (tiếng Hindi: भारत, chuyển tự Bhārata, tiếng Anh: India), tên gọi chính thức là Cộng hòa Ấn Độ (tiếng Hindi: भारत गणराज्य, chuyển tự Bhārat Gaṇarājya, tiếng Anh: Republic of India), là một quốc gia cộng hòa có chủ quyền tại khu vực Nam Á.",Nam Á
Người dân đi biển thường dùng từ nào để nói cá voi chết,"Khi cá Ông lụy (cá Voi chết), dân vạn chài chịu tang như đối với người thân của mình.",cá Ông lụy
Đội bóng có ngang bằng kỷ lục với Tottenham Hotspur F.C. đã giành được 1 Cúp FIFA Club World Cup phải không?,"Từ năm 1950 tới hết thập niên 2000, đội bóng luôn giành được ít nhất một danh hiệu mỗi thập kỷ, ngang bằng kỷ lục với Manchester United. Câu lạc bộ đã giành được 3 Cúp C1 châu Âu/UEFA Champions League, 1 UEFA Cup Winners' Cup, 1 UEFA Europa league, 1 Siêu cúp châu Âu, 1 Cúp Liên lục địa và 1 FIFA Club World Cup.",đúng
Danh tướng nào của nước ta nổi tiếng với tài lặn dưới nước,"Yết Kiêu (1242-1301; chữ Hán: 歇驕) là anh hùng chống giặc ngoại xâm vào đời nhà Trần,ông là gia tướng và một trong 5 mãnh tướng dưới trướng Quốc công Tiết Chế Trần Quốc Tuấn, ông là người có công giúp Nhà Trần chống giặc Nguyên Mông vào thế kỷ XIII với biệt tài thủy chiến.",Yết Kiêu
Quần đảo Selvagens thuộc nước nào,Hai quần đảo Madeira và Açores là hai vùng tự trị của Bồ Đào Nha .,Bồ Đào Nha
Quốc gia có tổ chức Hội đồng Anh nằm ở châu lục nào?,"Hội đồng Anh (tiếng Anh: British Council) là một tổ chức của Vương quốc Anh chuyên môn trong lĩnh vực giáo dục và văn hóa quốc tế. Vương quốc Liên hiệp Anh và Bắc Ireland (tiếng Anh: United Kingdom of Great Britain and Northern Ireland), thường được gọi là Anh Quốc, Vương quốc Anh, hoặc chỉ gọi tắt ngắn gọn là Anh (tiếng Anh: United Kingdom hoặc Britain), là quốc gia độc lập có chủ quyền tại châu Âu.",Châu Âu
Quốc gia của Johann Heinrich Lambert có bao nhiêu bang?,"Johann Heinrich Lambert (sinh ngày 26 tháng 8 năm 1728 - mất ngày 25 tháng 9 năm 1777) là một nhà nhà toán học, vật lý học, triết học và thiên văn học người Thụy Sĩ. Quốc gia này gồm có 26 bang, và thành phố Bern là nơi đặt trụ sở nhà đương cục liên bang.",26
Thủ đô của ai cập là gì,"Thủ đô Cairo của Ai Cập là thành phố lớn nhất châu Phi và từ nhiều thế kỷ đã là một trung tâm học thuật , văn hoá và thương mại .",Cairo
Ca sĩ có chuyến lưu diễn Fearless Tour sinh năm 1989 phải không?,"Fearless Tour (gồm Fearless Tour 2009 và Fearless Tour 2010) là chuyến lưu diễn đầu tiên của nữ ca sĩ kiêm sáng tác nhạc người Mỹ Taylor Swift nhằm quảng bá cho album phòng thu thứ hai của cô, Fearless (2008). Taylor Alison Swift (sinh ngày 13 tháng 12 năm 1989) là một nữ ca sĩ kiêm sáng tác nhạc người Mỹ.",đúng
Quốc gia có sân vận động De Kuip là quốc gia tại châu lục nào?,"Sân vận động Feijenoord (tiếng Hà Lan: Stadion Feijenoord, phát âm [ˌstaːdijɔn ˈfɛiənoːrt]), thường được biết đến nhiều hơn với biệt danh De Kuip (phát âm [də ˈkœyp]), là một sân vận động ở Rotterdam, Hà Lan. Hà Lan hay Hòa Lan (tiếng Hà Lan: Nederland [ˈneːdərˌlɑnt]  ( nghe)) là một quốc gia tại Tây Âu.",Châu Âu
Mike Phelan nhỏ tuổi hơn Shirley Temple phải không?,"Shirley Temple Black (nhũ danh Temple, 23 tháng 4 năm 1928 – 10 tháng 2 năm 2014) từng là ngôi sao nhí, nữ diễn viên điện ảnh người Mỹ, nguyên đại sứ Hoa Kỳ tại Ghana và Tiệp Khắc. Michael Christopher Phelan (sinh ngày 24 tháng 9 năm 1962) là một huấn luyện viên bóng đá, một cựu cầu thủ và hiện đang làm trợ lí huấn luyện viên ở Manchester United.",đúng
Giải thưởng Ernest Hemingway nhận được năm 1954 có cơ quan Viện Hàn lâm Thụy Điển quyết định người được trao giải phải không?,"Ông đã nhận được Giải Pulitzer năm 1953 với tiểu thuyết Ông già và biển cả và Giải Nobel Văn học năm 1954. Cơ quan quyết định người được nhận Giải Nobel Văn học là Viện Hàn lâm Thụy Điển, quyết định này được công bố vào đầu tháng 10 hàng năm.",đúng
tổng giám đốc của Theranos là ai,"Trong năm 2015 , Forbes bình chọn Holmes là tỷ phú nữ tự lập trẻ nhất thế giới ( lúc 31 tuổi ) vì Theranos trị giá $ 9 tỷ .",Holmes
"Hãng thu âm phát hành ca khúc I Knew You Were Trouble có trụ sở đặt tại Nashville, Tinnessee phải không?","Ca khúc được phát hành vào ngày 9 tháng 10, 2012 bởi Big Machine Records và là đĩa đơn quảng bá thứ ba của album. Big Machine có trụ sở đặt tại Nashville, Tinnessee.",đúng
Quê hương của câu lạc bộ F.C. Porto giáp với biển Đại Tây Dương ở phía Đông và phía Bắc phải không?,"Câu lạc bộ bóng đá Porto (tiếng Bồ Đào Nha: Futebol Clube do Porto; phát âm tiếng Bồ Đào Nha: [futɨˈβɔl ˈkluβ(ɨ) ðu ˈpoɾtu]), thường được biết đến với tên gọi FC Porto hoặc đơn giản là Porto, là một câu lạc bộ bóng đá có trụ sở tại Porto, Bồ Đào Nha. Bồ Đào Nha giáp với Đại Tây Dương ở phía Tây và phía Nam, giáp Tây Ban Nha ở phía Đông và phía Bắc.",không
Người cùng với Peter Agre giành Giải Nobel Hóa học năm 2003 sinh năm nào?,"Ông giành Giải Nobel Hóa học năm 2003 cùng với Roderick MacKinnon vì những nghiên cứu về cách thức các chất chủ chốt tiến vào hoặc rời khỏi các tế bào trong cơ thể, và khám phá của họ liên quan tới các lỗ nhỏ, được gọi là ""kênh"", trên bề mặt tế bào. Roderick MacKinnon (sinh 1956) là nhà hóa học người Mỹ.",1956
Câu lạc bộ A.C. Milan có sân nhà là San Siro được sáng lập ngày 16 tháng 12 năm 1899 phải không?,"San Siro, tên chính thức là Sân vận động Giuseppe Meazza (tiếng Ý: Stadio Giuseppe Meazza), là một sân vận động bóng đá ở quận San Siro của Milano, là sân nhà của AC Milan và Internazionale. Associazione Calcio Milan S.p.A. (phát âm tiếng Ý: [assotʃatˈtsjoːne ˈkaltʃo ˈmiːlan]; tiếng Việt: Công ty cổ phần Câu lạc bộ bóng đá Milan, thường được biết đến với tên gọi tắt A.C. Milan, AC Milan hay đơn giản là Milan) là một câu lạc bộ bóng đá có trụ sở tại thành phố Milano, Ý được thành lập ngày 16 tháng 12 năm 1899.",đúng
Quang Trung cầm quân chiến đấu từ năm mấy tuổi,"Bản thân ông đã cầm quân chiến đấu từ năm 18 tuổi , trong 20 năm liền đã trải qua hàng chục trận đánh lớn , và chưa hề thua một trận nào .",18 tuổi
Giải bóng đá Chelsea F.C. đang thi đấu có mùa giải kéo dài từ tháng mấy đến tháng mấy?,"Được thành lập vào năm 1905, câu lạc bộ hiện đang thi đấu tại Premier League, giải đấu hàng đầu của bóng đá Anh. Mùa giải kéo dài từ tháng 8 đến tháng 5 với mỗi đội chơi 38 trận đấu (đấu với 19 đội khác trên sân nhà và sân khách).",từ tháng 8 đến tháng 5 
Quốc gia của Alex Oxlade-Chamberlain có biên giới trên bộ với nước Scotland phải không?,Alexander Mark David Oxlade-Chamberlain (; sinh ngày 15 tháng 8 năm 1993) là một cầu thủ bóng đá người Anh hiện đang thi đấu ở vị trí tiền vệ cho câu lạc bộ Liverpool tại Giải ngoại hạng Anh. Quốc gia này có biên giới trên bộ với Scotland về phía bắc và với Wales về phía tây.,đúng
Claire Danes lớn tuổi hơn Jimi Hendrix phải không?,"James Marshall ""Jimi"" Hendrix (tên khai sinh Johnny Allen Hendrix; 27 tháng 11 năm 1942 – 18 tháng 9 năm 1970) là một nhạc công, ca sĩ và nhạc sĩ người Mỹ. Claire Catherine Danes (sinh ngày 12 tháng 4 năm 1979) là một nữ diễn viên truyền hình, sân khấu và điện ảnh Mỹ.",không
Giải thưởng John Polanyi được trao năm 1986 được trao hàng năm cho các nhà khoa học trong lĩnh vực vật lý phải không?,Ông được trao Giải Nobel Hóa học năm 1986 cùng với Lý Viễn Triết và Dudley R. Herschbach. Giải Nobel Hoá học (tiếng Thụy Điển: Nobelpriset i kemi) được trao hàng năm bởi Viện hàn lâm khoa học Thụy Điển cho các nhà khoa học trong lĩnh vực hoá học.,không
Chùa Quảng Nghiêm được khánh thành năm bao nhiêu,"Chùa được lập từ đời Lý Cao Tông nhà Lý , niên hiệu Trinh Phù thứ 10 , 1185 .",1185
Đội bóng nào Duncan Edwards từng chơi từng có tên Newton Heath LYR Football Club?,"Duncan Edwards (1 tháng 10 năm 1936 – 21 tháng 2 năm 1958) là cầu thủ bóng đá người Anh đã từng chơi cho câu lạc bộ Manchester United và đội tuyển bóng đá quốc gia Anh. Với biệt danh ""Quỷ Đỏ"", câu lạc bộ được thành lập dưới tên Newton Heath LYR Football Club vào năm 1878, đổi tên thành Manchester United vào năm 1902 và chuyển đến sân vận động hiện tại, Old Trafford, vào năm 1910.",Manchester United F.C.
50 ngôi sao trên cờ Liên bang Mỹ tượng trưng cho điều gì,"Trên lá cờ Hoa Kỳ, mỗi một ngôi sao tượng trưng cho chủ quyền của một tiểu bang, do đó ngày nay lá cờ Mỹ gồm có 50 ngôi sao tượng trưng cho 50 tiểu bang, trong khi số sọc trên lá cờ vẫn được giữ ở con số 13, tượng trưng cho 13 tiểu bang đầu tiên của ngày lập quốc.","tượng trưng cho 50 tiểu bang,"
Địa điểm mà Christina Aguilera có được một ngôi sao nằm ở phố nào?,"Cô là chủ nhân của năm giải Grammy, một giải Grammy Latin và một ngôi sao trên Đại lộ Danh vọng Hollywood, cô được mệnh danh là ""Tiếng hát của một thế hệ"" và được vinh danh là Huyền thoại Disney lần lượt vào năm 2012 và năm 2019. Đại lộ Danh vọng Hollywood (tiếng Anh: Hollywood Walk of Fame) là một lề đường dọc đại lộ Hollywood và phố Vine ở Hollywood, California, Hoa Kỳ, gắn hơn 2.600 ngôi sao năm cánh (tính đến năm 2018) cách nhau 6 foot (1,8 m)  có tên các nhân vật nổi tiếng được phòng thương mại Hollywood vinh danh vì những đóng góp của họ trong ngành công nghiệp giải trí.","phố Vine ở Hollywood, California, Hoa Kỳ"
lý hoằng là ai,"Ông là con trai thứ năm của Đường Cao Tông Lý Trị , và là con trai trưởng do Hoàng hậu Võ Tắc Thiên sinh ra .",Ông là con trai thứ năm của Đường Cao Tông Lý Trị
Ngôn ngữ chính thức của Hàn Quốc là gì,"Tiếng Hàn Quốc hay tiếng Triều Tiên là ngôn ngữ phổ dụng nhất tại Hàn Quốc và Triều Tiên , và là ngôn ngữ chính thức của cả hai miền Bắc và Nam bán đảo Triều Tiên .",Tiếng Hàn Quốc hay tiếng Triều Tiên
Quê hương của Zachary Taylor gồm 50 tiểu bang phải không?,"Zachary Taylor (24 tháng 11 năm 1784 - 9 tháng 7 năm 1850) là tổng thống thứ 12 của Hoa Kỳ, phục vụ từ tháng 3 năm 1849 cho đến khi ông qua đời vào tháng 7 năm 1850. Quốc gia này nằm tại Tây Bán cầu, lãnh thổ bao gồm 50 tiểu bang và 1 đặc khu liên bang (trong đó có 48 tiểu bang lục địa), thủ đô là Washington, D.C., thành phố lớn nhất là New York.",đúng
Nhà vi khuẩn học đã xác định độc lập vi khuẩn gây bệnh dịch hạch trước Alexandre Yersin sinh năm bao nhiêu?,"Một nhà vi khuẩn học khác, Kitasato Shibasaburo, được ghi nhận là đã xác định độc lập vi khuẩn này vài ngày trước đó, nhưng có thể đã xác định được một loại vi khuẩn khác và không phải là mầm bệnh gây ra bệnh dịch hạch. Nam tước  Kitasato Shibasaburo (北里 柴三郎, Kitasato Shibasaburo, Bắc Lý Sài Tam Lang) (29 tháng 1 năm 1853 Kyūshū - 13 tháng 6 năm 1931) là bác sĩ và nghiên cứu gia người Nhật Bản trong ngành vi trùng học.",1931
Kim đồng là ai,Anh là người đội trưởng đầu tiên của tổ chức Đội Thiếu niên Tiền phong Hồ Chí Minh .,đội trưởng đầu tiên của tổ chức Đội Thiếu niên Tiền phong Hồ Chí Minh
Giải bóng đá có Stoke City F.C. là đội bóng lâu đời nhất gồm có 20 đội bóng phải không?,"Thành lập từ năm 1863, Stoke là câu lạc bộ lâu đời nhất ở Premier League, và là CLB chuyên nghiệp lâu đời thứ hai trên thế giới, sau Notts County. Gồm 20 câu lạc bộ, giải đấu sử dụng hệ thống thăng hạng và xuống hạng với English Football League (EFL).",đúng
Bhutan là thành viên tổ chức nào,"Bhutan là thành viên Liên Hiệp Quốc , Phong trào không liên kết , IOC , SAARC và nhiều tổ chức quốc tế và khu vực khác .","Liên Hiệp Quốc , Phong trào không liên kết , IOC , SAARC và nhiều tổ chức quốc tế và khu vực khác"
Thanh Hóa có vườn quốc gia nào,"Năm 1966, Việt Nam có vườn quốc gia đầu tiên là vườn quốc gia Cúc Phương thuộc địa bàn 3 tỉnh Ninh Bình, Thanh Hóa, Hòa Bình.",Cúc Phương
George Harrison nhỏ tuổi hơn Whoopi Goldberg phải không?,"George Harrison  (25 tháng 2 năm 1943 – 29 tháng 11 năm 2001), là một nam nhạc công, ca sĩ, nhạc sĩ, nhà sản xuất phim và thu âm người Anh, tay guitar chính của ban nhạc The Beatles. Caryn Elaine Johnson (sinh ngày 13 tháng 11 năm 1955), được biết đến nhiều hơn với nghệ danh Whoopi Goldberg (), là một nữ diễn viên, diễn viên lồng tiếng, diễn viên hài, biên kịch, nhà sản xuất, tác giả, ca sĩ, nhạc sĩ, DJ, người dẫn chương trình, và nhà hoạt động chính trị người Mỹ.",không
Quê hương của Joan Baez bao gồm bao nhiêu đặc khu liên bang?,"Joan Chandos Baez (phát âm:/ˈbaɪ.ɛz/; sinh ngày 09 tháng 01 năm 1941 tại New York, Hoa Kỳ) là một ca sĩ hát nhạc folk và đồng quê người Mỹ, bà cũng là một nhà hoạt động nhân quyền, hoạt động xã hội vì công lý và hòa bình. Quốc gia này nằm tại Tây Bán cầu, lãnh thổ bao gồm 50 tiểu bang và 1 đặc khu liên bang (trong đó có 48 tiểu bang lục địa), thủ đô là Washington, D.C., thành phố lớn nhất là New York.",1
Đông Nam Á nằm ở đâu,"Đông Nam Á là một khu vực nằm ở phía Đông Nam châu Á, bao gồm các nước nằm ở phía nam Trung Quốc, phía đông Ấn Độ và phía bắc của Úc, phía Tây Papua New Guinea[1].","phía Đông Nam châu Á,"
Núi cao nhất Việt Nam,"Phan Xi Păng , Fansipan , hay Phan Si Păng là ngọn núi cao nhất Việt Nam , cũng là cao nhất trong ba nước Đông Dương nên được mệnh danh là "" Nóc nhà Đông Dương "" ( 3.143 m ) thuộc dãy núi Hoàng Liên Sơn , cách thị trấn Sa Pa khoảng 9  km về phía tây nam , nằm giáp hai tỉnh Lào Cai và Lai Châu thuộc vùng Tây bắc Việt Nam .","Phan Xi Păng , Fansipan , hay Phan Si Păng"
Michael Carrick nhỏ tuổi hơn John Mayer phải không?,"John Clayton Mayer (sinh ngày 16 tháng 10 năm 1977) là một ca sĩ, nhạc sĩ, nhà sản xuất âm nhạc thể loại pop rock/pop/blues rock người Mỹ. Michael Carrick (sinh ngày 28 tháng 7 năm 1981 tại Wallsend, Tyne và Wear) là một cựu cầu thủ và là một huấn luyện viên bóng đá chuyên nghiệp người Anh.",đúng
Nơi sinh của John Mayer là trung tâm của khu vực đô thị lớn thứ 31 tại Hoa Kỳ phải không?,"Sinh ra tại Bridgeport, Connecticut và lớn lên tại Fairfield, Connecticut, anh đã theo học tại trường Cao đẳng âm nhạc Berklee (Berklee College of Music) ở Boston. Bridgeport cũng là trung tâm của khu vực đô thị lớn thứ 31 tại Hoa Kỳ, ngay sau Austin, Texas (thứ 40).",đúng
Quốc gia có thành phố Den Haag giáp với Bỉ về phía nam phải không?,"Thành phố nằm ở miền tây Hà Lan, thuộc tỉnh Nam Hà Lan và là tỉnh lỵ của tỉnh này. Phần thuộc châu Âu của Hà Lan gồm có 12 tỉnh, giáp với Đức về phía đông, Bỉ về phía nam, và biển Bắc về phía tây bắc; có biên giới hàng hải với Bỉ, Anh và Đức.",đúng
Mỗi hiệp bóng đá kéo dài bao lâu,"Một trận đấu bóng đá thông thường có hai hiệp , mỗi hiệp 45 phút với khoảng thời gian 15 phút nghỉ giữa hai hiệp .",45 phút
Edison có bao nhiêu bằng sáng chế tại Mỹ,"Edison được coi là một trong những nhà phát minh giàu ý tưởng nhất trong lịch sử , ông giữ 1.093 bằng sáng chế tại Hoa Kỳ dưới tên ông , cũng như các bằng sáng chế ở Anh Quốc , Pháp , và Đức ( tổng cộng 1.500 bằng phát minh trên toàn thế giới )",1.093 bằng sáng chế
thành phố hải dương ở đâu,"Thành phố Hải Dương nằm cách Thủ đô Hà Nội 57  km về phía đông , cách thành phố Hải Phòng 45  km về phía tây .","cách Thủ đô Hà Nội 57  km về phía đông , cách thành phố Hải Phòng 45  km về phía tây"
Israel giáp những nước nào,"Israel có biên giới trên bộ với Liban về phía bắc , với Syria về phía đông bắc , với Jordan về phía đông , và lần lượt giáp với các lãnh thổ Bờ Tây và Dải Gaza của Palestine về phía đông và tây , và với Ai Cập về phía tây nam .","Liban về phía bắc , với Syria về phía đông bắc , với Jordan về phía đông , và lần lượt giáp với các lãnh thổ Bờ Tây và Dải Gaza của Palestine về phía đông và tây , và với Ai Cập về phía tây nam ."
Hiệp hội các quốc gia Đông Nam Á được thành lập vào ngày nào,"Ngày 8 tháng 8 năm 1967 , Hiệp hội các quốc gia Đông Nam Á ( ASEAN ) được Thái Lan , Indonesia , Malaysia , Singapore , và Philippines thành lập .",Ngày 8 tháng 8 năm 1967
Quê hương của Al Pacino thuộc châu Mỹ phải không?,"Alfredo James Pacino (sinh ngày 25 tháng 4 năm 1940), thường được biết đến với tên Al Pacino là một diễn viên nổi tiếng của sân khấu và điện ảnh Hoa Kỳ. Hoa Kỳ (tiếng Anh: United States; viết tắt: U.S. hay US), hay còn được gọi là Mỹ (tiếng Anh: America), tên đầy đủ là Hợp chúng quốc Hoa Kỳ (tiếng Anh: United States of America, viết tắt: U.S.A. hay USA), là một quốc gia cộng hòa lập hiến liên bang thuộc châu Mỹ.",đúng
Brian Epstein lớn tuổi hơn Eden Hazard phải không?,"Brian Samuel Epstein (; 19 tháng 9 năm 1934 – 27 tháng 8 năm 1967) là một doanh nhân âm nhạc người Anh, người quản lý The Beatles từ năm 1962 cho đến khi qua đời. Eden Michael Hazard (sinh ngày 7 tháng 1 năm 1991) là một cầu thủ bóng đá người Bỉ hiện đang chơi ở vị trí tiền đạo cánh cho câu lạc bộ Real Madrid tại La Liga và là Đội trưởng của Đội tuyển bóng đá quốc gia Bỉ.",đúng
Alan Arkin lớn tuổi hơn Herbie Hancock phải không?,"Alan Wolf Arkin (sinh ngày 26 tháng 3 năm 1934) là một diễn viên, đạo diễn và nhà biên kịch người Mỹ. Herbert Jeffrey Hancock (sinh ngày 12 tháng 4 năm 1940) là nghệ sĩ piano, nhạc sĩ, nhà sản xuất thu âm và diễn viên người Mỹ.",đúng
Park Jin young là ai,Park Jin Young chính là người sáng lập nên công ty giải trí JYP Entertainment - một trong những thương hiệu giải trí lớn mạnh hàng đầu và quy mô hùng hậu tại Hàn Quốc .,người sáng lập nên công ty giải trí JYP Entertainment
Câu lạc bộ có ngang bằng kỷ lục với Tottenham Hotspur F.C. đã giành được 2 Cúp FIFA Club World Cup phải không?,"Từ năm 1950 tới hết thập niên 2000, đội bóng luôn giành được ít nhất một danh hiệu mỗi thập kỷ, ngang bằng kỷ lục với Manchester United. Câu lạc bộ đã giành được 3 Cúp C1 châu Âu/UEFA Champions League, 1 UEFA Cup Winners' Cup, 1 UEFA Europa league, 1 Siêu cúp châu Âu, 1 Cúp Liên lục địa và 1 FIFA Club World Cup.",không
Qatar giàu có nhờ nguồn tài nguyên gì,"Một số quốc gia Trung Đông như Ả Rập Saudi, Qatar, Các Tiểu Vương quốc Ả Rập Thống nhất, Bahrain, Kuwait, và Oman hay Brunei ở Đông Nam Á dù chưa phải là những nền kinh tế phát triển, song vẫn là những quốc gia có mức sống cao nhờ nguồn tài nguyên dầu mỏ dồi dào.",dầu mỏ
